Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um,,,,
 96, 897,     896.688,      20.000,     904.910,   1.340E-02,   2.754E-02,   1.334E-03,   5.486E-23
 97, 902,     902.416,      20.000,     891.987,   1.306E-02,   2.754E-02,   1.211E-03,   5.052E-23
 98, 908,     908.144,      20.001,     880.035,   1.273E-02,   2.753E-02,   9.842E-04,   4.344E-23
 99, 914,     913.872,      20.000,     868.363,   1.241E-02,   2.753E-02,   7.473E-04,   3.540E-23
100, 920,     919.600,      20.000,     856.758,   1.210E-02,   2.752E-02,   5.830E-04,   2.740E-23
101, 925,     925.328,      20.000,     846.483,   1.180E-02,   2.752E-02,   5.185E-04,   1.994E-23
102, 931,     931.056,      20.001,     837.607,   1.151E-02,   2.751E-02,   5.454E-04,   1.299E-23
103, 937,     936.784,      20.000,     828.315,   1.123E-02,   2.751E-02,   6.282E-04,   6.869E-24
104, 943,     942.512,      20.000,     818.023,   1.096E-02,   2.750E-02,   6.897E-04,   2.673E-24
105, 948,     948.240,      20.000,     807.586,   1.069E-02,   2.750E-02,   6.530E-04,   7.167E-25
106, 954,     953.968,      20.000,     797.474,   1.044E-02,   2.749E-02,   5.225E-04,   1.277E-25
107, 960,     959.696,      20.000,     787.900,   1.019E-02,   2.749E-02,   3.706E-04,   1.486E-26
108, 965,     965.424,      20.000,     778.897,   9.946E-03,   2.748E-02,   2.538E-04,   1.118E-27
109, 971,     971.152,      20.000,     770.151,   9.712E-03,   2.748E-02,   1.881E-04,   5.407E-29
110, 977,     976.880,      20.000,     761.456,   9.485E-03,   2.747E-02,   1.795E-04,   1.677E-30
111, 983,     982.609,      20.000,     752.781,   9.264E-03,   2.747E-02,   2.285E-04,   3.327E-32
112, 988,     988.336,      20.000,     743.978,   9.050E-03,   2.747E-02,   3.001E-04,   4.219E-34
113, 994,     994.064,      20.000,     734.671,   8.843E-03,   2.746E-02,   3.257E-04,   3.415E-36
114,1000,     999.790,      20.000,     724.747,   8.641E-03,   2.746E-02,   2.742E-04,   1.766E-38
115,1006,    1005.520,      20.000,     715.043,   8.444E-03,   2.745E-02,   1.855E-04,   5.799E-41
116,1011,    1011.250,      20.000,     706.452,   8.252E-03,   2.745E-02,   1.128E-04,   1.205E-43
117,1017,    1016.980,      20.000,     698.720,   8.066E-03,   2.745E-02,   7.161E-05,   0.000E+00
118,1023,    1022.700,      20.000,     691.110,   7.887E-03,   2.744E-02,   5.327E-05,   0.000E+00
119,1028,    1028.430,      20.000,     683.076,   7.712E-03,   2.744E-02,   4.975E-05,   0.000E+00
120,1034,    1034.160,      20.000,     674.653,   7.541E-03,   2.744E-02,   5.858E-05,   0.000E+00
121,1040,    1039.890,      20.000,     666.469,   7.375E-03,   2.743E-02,   7.558E-05,   0.000E+00
122,1046,    1045.620,      20.000,     658.881,   7.214E-03,   2.743E-02,   8.936E-05,   0.000E+00
123,1051,    1051.340,      20.000,     651.447,   7.057E-03,   2.743E-02,   8.873E-05,   0.000E+00
124,1057,    1057.070,      20.000,     643.496,   6.905E-03,   2.742E-02,   7.513E-05,   0.000E+00
125,1063,    1062.800,      20.000,     635.039,   6.756E-03,   2.742E-02,   5.875E-05,   0.000E+00
126,1069,    1068.530,      20.000,     626.697,   6.612E-03,   2.742E-02,   4.517E-05,   0.000E+00
127,1074,    1074.260,      20.000,     618.804,   6.471E-03,   2.741E-02,   3.392E-05,   0.000E+00
128,1080,    1079.980,      20.000,     610.888,   6.334E-03,   2.741E-02,   2.412E-05,   0.000E+00
